UnderFour,Seniors,NonWhite,NonEnglish,Income,NoHighSchoolDegree,Poverty,TreeDensity,LiveAlone,SeniorLiveAlone,NursingHomes,JobDensity,RegionalTransitAccess,NoParkAccess,AirQuality,LivingTopFloor,PopulationDensity,SurfaceTemperature0508,SurfaceTemperature0908,AsthmaRates,NoAirConditioning
0.023295,0.184091,0.365341,0.144217,35730.0,0.11155899999999999,0.18291404600000002,1528,0.491094,0.117048,0.0,48307.18414533,0.99888238,1.0,3.4,0.171986,81131.296449,301.5,314,5.7,0.973684
0.054287,0.099442,0.420091,0.190713,40310.0,0.149128,0.20293655,1523,0.368211,0.047833,0.0,18937.914877,0.89585175,0.886908,3.4,0.17114200000000002,78367.82506799999,301.700012,314,5.700079,0.973684
0.028669,0.110398,0.36457,0.065668,50477.0,0.069239,0.15486898699999999,2055,0.4573,0.06217999999999999,0.0,30389.15609969,0.08699785,0.972131,3.4,0.15876600000000002,111106.25273299999,300.899994,313,11.681823,0.983608
0.028345,0.153061,0.391156,0.178451,47939.0,0.071221,0.197072072,1161,0.44299700000000003,0.085776,0.0,117171.29821651,0.0,0.156849,3.3,0.159971,38199.917047,300.899994,313,11.906759,1.0
0.044025,0.101468,0.424738,0.14775,53864.0,0.141138,0.205166052,2409,0.330557,0.044301,0.0,19102.99003322,0.22319787,0.157528,3.5,0.172745,109676.07973399998,299.0,312,5.700862,0.973685
0.062267,0.144758,0.543374,0.343297,36242.0,0.243763,0.138246628,3317,0.291547,0.076369,0.0,13349.51456311,0.0,0.0,3.5,0.167234,168446.601942,299.399994,313,5.700518,0.973685
0.048519,0.092314,0.465865,0.192277,41703.0,0.168072,0.263228101,1284,0.352509,0.035467,0.0,29235.59612094,0.61885199,0.264581,3.6,0.175067,65944.09583600001,301.799988,316,5.7,0.973684
0.029921,0.116799,0.451334,0.266794,40024.0,0.11681,0.197229551,1127,0.490554,0.064821,0.0,94842.16459977,0.0,0.4932,3.7,0.129772,86527.621195,300.899994,313,14.699867000000001,0.999999
0.039183,0.17716,0.518754,0.2763,21935.0,0.287632,0.348250867,993,0.345136,0.098565,0.0,90432.86462641,0.0,0.084267,4.1,0.154852,86435.070306,299.899994,313,14.699898999999998,0.999999
0.051313,0.135442,0.515513,0.288325,28381.0,0.206436,0.23446658899999998,1438,0.309052,0.070702,0.0,21851.63887292,0.0,0.0,3.9,0.166978,107360.552041,302.0,315,12.888459,0.988102
0.064263,0.097962,0.547414,0.343798,26438.0,0.286017,0.262156448,1230,0.255655,0.040215,0.0,30213.90374332,0.0,0.0,4.1,0.178559,148930.481283,299.799988,313,12.87528,0.988043
0.036256,0.06914,0.402192,0.06951,23256.0,0.0551,0.392513369,4016,0.360656,0.013934,0.0,50808.03134182,0.0,0.0,4.4,0.14409,29872.673849000003,299.799988,313,14.699872000000001,0.999985
0.012694,0.138223,0.291961,0.117978,51054.0,0.042857,0.148876404,2377,0.548732,0.09479299999999999,0.0,141130.63003566,0.0,0.034695,5.0,0.12465,9893.012812,299.100006,315,14.699991,0.999999
0.036517,0.228933,0.339888,0.343678,18889.0,0.216216,0.386548913,2411,0.34269299999999997,0.11933599999999998,0.0,52784.70490441,0.0,0.636126,3.9,0.177621,65128.844554999996,301.100006,314,11.685145,0.983617
0.046957,0.217838,0.636844,0.267834,20780.0,0.334445,0.32907098100000004,1972,0.41068699999999997,0.11628499999999999,0.0,18464.12085606,0.0,0.0,4.7,0.177175,164918.170373,301.0,315,14.7,1.0
0.018887,0.131213,0.480119,0.109023,17528.0,0.27015300000000003,0.304537522,1601,0.5621619999999999,0.082883,0.0,79590.92930191,0.0,0.0,4.9,0.144867,49355.269007999996,300.899994,315,14.699998999999998,1.0
0.047026,0.168006,0.55426,0.34492,25281.0,0.2914,0.33055345,2754,0.23520700000000003,0.050614,0.0,29733.95931142,0.0,0.022541,5.1,0.162165,84100.156495,301.299988,315,14.699888,0.999987
0.048193,0.139558,0.124498,0.025316,127782.0,0.053409000000000005,0.078252957,3840,0.384475,0.06758,0.0,5015.65395182,1.0,0.013092,2.2,0.288234,6996.35806,303.200012,316,2.000653,0.999999
0.040252,0.152764,0.109117,0.043921,162860.0,0.039652,0.029970452,3285,0.43184799999999995,0.063609,0.0,7888.69764773,1.0,0.9422309999999999,2.4,0.27182,33146.873207,302.5,315,2.0,1.0
0.043414,0.15894,0.125828,0.033827,159966.0,0.024086,0.013821700000000001,1086,0.355202,0.057654,0.0,1558.48918225,1.0,0.070724,1.8,0.282767,6916.941694,303.200012,315,2.0,1.0
0.05912,0.13987,0.137707,0.008475,165760.0,0.018167,0.045305318,3230,0.35013099999999997,0.054974,0.0,5133.47022587,1.0,0.112028,2.2,0.275341,12067.603854,300.799988,314,1.999998,1.0
0.055645,0.124194,0.107258,0.027308,181724.0,0.016453,0.034100597,3931,0.34881799999999996,0.041565,0.0,2106.14995788,1.0,0.607325,2.3,0.274949,34456.613311,302.299988,314,2.0,1.0
0.040602,0.195489,0.105263,0.050847,134404.0,0.020408000000000003,0.039950062,3677,0.37601100000000004,0.066038,0.0,3748.66119243,1.0,0.51025,2.4,0.268812,26490.539093,302.5,315,1.999997,1.0
0.033493,0.145591,0.146275,0.05336,171265.0,0.023148,0.034722222000000004,4031,0.33719499999999997,0.053659000000000005,0.0,15065.41562046,1.0,0.9841639999999999,2.8,0.282982,21673.05405,302.799988,315,2.0,1.0
0.085714,0.14026,0.053247,0.0,309087.0,0.003273,0.008816121,8816,0.170704,0.038062,0.0,3500.32815576,1.0,0.44487299999999996,1.8,0.259542,18967.403194,301.0,312,1.999999,1.0
0.065169,0.137079,0.141573,0.0,186677.0,0.014474,0.018538713000000002,5422,0.29640700000000003,0.056886,0.0,7061.79066835,1.0,0.182843,2.9,0.266444,25271.12232,302.299988,313,1.999999,1.0
0.030063,0.208861,0.126582,0.049041,105834.0,0.034111,0.08051948099999999,3585,0.437143,0.11857100000000001,0.0,9807.23706459,1.0,0.648422,2.9,0.27560300000000004,23672.641190000002,302.700012,315,2.0,1.0
0.042017,0.148739,0.12605,0.031063,117787.0,0.044423000000000004,0.036747458999999996,3226,0.361621,0.061162,0.0,3930.60449986,1.0,0.07917300000000001,2.5,0.277388,35456.763351,300.899994,314,2.001831,0.999997
0.024561,0.128947,0.183333,0.058008,153493.0,0.061692,0.01619121,2847,0.361532,0.05506799999999999,0.0,8233.32403014,1.0,0.965549,3.2,0.272837,34970.694948000004,301.5,314,2.000427,0.999999
0.028269,0.126325,0.141343,0.058599,127288.0,0.045501,0.045696877000000004,2894,0.328627,0.043922,0.0,5310.67445566,1.0,0.734943,2.9,0.290985,33855.549655,302.0,314,2.000895,0.999998
0.024625,0.213062,0.135974,0.027457,98763.0,0.017921,0.03121853,2458,0.461692,0.127363,0.0,8458.34663262,1.0,0.085255,3.1,0.279475,32077.880626,301.700012,314,2.0,1.0
0.024362,0.163573,0.151972,0.056985,167909.0,0.03776,0.06310679599999999,2362,0.347977,0.075145,0.0,10061.48686417,1.0,0.21915900000000002,2.8,0.296607,12087.758523999999,303.700012,316,2.0,1.0
0.038211,0.109972,0.17987,0.040431,120004.0,0.061767999999999997,0.052719665,3924,0.387631,0.052265,0.0,12043.30175913,1.0,0.401032,2.8,0.263644,31069.012179,303.299988,314,2.0,1.0
0.043527,0.16183,0.116071,0.012048,238995.0,0.025221,0.009109312,4335,0.286885,0.054303,0.0,16532.37010281,1.0,0.12481199999999999,2.3,0.265509,27118.644068,303.200012,314,2.000038,1.0
0.045307,0.133765,0.097087,0.03231,176096.0,0.017435,0.045135405999999996,4609,0.31037800000000004,0.055286,0.0,24441.34078212,1.0,1.0,2.2,0.263786,28798.882682,302.700012,313,2.009607,0.999996
0.032184,0.131034,0.124138,0.04021,144992.0,0.018088,0.037894737000000005,4956,0.313846,0.045127999999999995,0.0,29878.22146701,1.0,1.0,2.2,0.26254099999999997,27612.574342,302.799988,315,2.0010060000000003,1.0
0.024142,0.13723,0.132783,0.015726,134462.0,0.010057,0.075775656,3511,0.378156,0.06048200000000001,0.0,16414.50185555,1.0,0.79498,2.8,0.193064,48615.472451999995,303.299988,313,5.699979,0.973685
0.039162,0.140651,0.160507,0.059429,116051.0,0.020208,0.051406926,4131,0.392577,0.067433,0.0,12606.31834751,1.0,0.367306,2.6,0.186255,58110.571080999995,303.700012,313,5.7,0.973684
0.030627,0.167379,0.160256,0.013438,114825.0,0.0425,0.065426997,6091,0.309461,0.065046,0.0,19347.56203366,1.0,0.081371,3.2,0.247653,26409.855978,300.5,315,5.700342,0.973684
0.033557,0.150168,0.135067,0.0,183918.0,0.002801,0.06641791,5234,0.335591,0.054176,0.0,3822.40517495,1.0,0.534452,2.1,0.233292,39076.742135,303.200012,312,5.700136,0.973685
0.047449,0.134184,0.131633,0.031206,227120.0,0.023229,0.036985668,4354,0.391985,0.058498,0.0,12723.65805169,1.0,0.9056850000000001,1.6,0.235699,43161.033797000004,301.100006,314,14.099793,0.937504
0.058997,0.116519,0.129794,0.0,251787.0,0.007379999999999999,0.026927785,7604,0.198423,0.038107999999999996,0.0,7799.17133805,1.0,0.510749,1.7,0.262938,18547.404338,301.899994,314,13.885964999999999,0.949789
